ticker,security,data_source,report_url,scope1_tco2e,scope2_location_tco2e,scope2_market_tco2e,scope1_base_year_end,scope1_base_year_tco2e,revenue_usd,is_cdp_format,notes
KDP,Keurig Dr Pepper,cdp_pdf,https://www.keurigdrpepper.com/wp-content/uploads/2025/06/2024-cdp-climate-submission-fy-2023-reporting.pdf,286787.0,174778.0,36721.0,,,14814000000.0,new,
KEY,KeyCorp,sustainability_report,https://www.key.com/content/dam/kco/documents/about/esg-reports/2024-keycorp-cr-report-planet.pdf,,,,,,,,"download_error: HTTPSConnectionPool(host='www.key.com', port=443): Read timed out. (read timeout=30)"
KEYS,Keysight Technologies,sustainability_report,https://www.keysight.com/us/en/assets/3126-1338/corporate-reports/2025-Corporate-Social-Responsibility-Data-Report.pdf,,,,,,,False,no_fields_extracted
KMB,Kimberly-Clark,epa_ghgrp,,1030421.0,,,,,,,"EPA GHGRP 2023 Direct Emitters, parent 'KIMBERLY-CLARK CORP' (8 facilities). CDP search inconclusive; used EPA. Scope 1 only."
KIM,Kimco Realty,sustainability_report,https://s1.q4cdn.com/944058265/files/doc_news/2024/Jun/06-27-24-kim-2023-cr-report.pdf,,,,,,,False,no_fields_extracted
KMI,Kinder Morgan,cdp_pdf,https://www.kindermorgan.com/WWWKM/media/Safety-Environmental/documents/2025-CDP-Climate-Response.pdf,15400000.0,3000000.0,3200000.0,,,15100000000.0,new,
KKR,KKR & Co.,sustainability_report,https://www.kkr.com/content/dam/kkr/sustainability/pdf/2025-corporate-sustainability-disclosures.pdf,,,,,,,False,no_fields_extracted
KLAC,KLA Corporation,cdp_pdf,https://www.kla.com/wp-content/uploads/KLA-2025-CDP-Report.pdf,4698.0,69057.0,43623.0,12/31/2021,4698.0,10846957000.0,new,
KHC,Kraft Heinz,sustainability_report,https://www.kraftheinzcompany.com/sustainability/pdf/KraftHeinz-2024-ESG-Report.pdf,,,,,,,False,no_fields_extracted
KR,Kroger,sustainability_report,https://www.thekrogerco.com/wp-content/uploads/2025/10/Kroger-Co-2025-Summary-Performance-Tables.pdf,,,,,,,False,no_fields_extracted
